facility_id,name,fuel,state,lat,lon
BUTLERSG,Butlers Gorge,hydro,TA,-42.267107,146.262127
BWTR1,Broadwater,bioenergy_biomass,NS,-29.016483,153.445756
CALLIDEC1,Callide C,coal_black,QL,-24.347222,150.608611
CALL_A,Callide A,coal_black,QL,-24.333169,150.626322
CALL_B,Callide B,coal_black,QL,-24.333169,150.626322
CANUNDA1,Canunda,wind,SA,-37.698303,140.383633
CAPBES,Capital,battery,NS,-35.339434,149.216065
CAPTL_WF,Capital,wind,NS,-35.123534,149.500249
CATHROCK,Cathedral Rocks,wind,SA,-34.848741,135.592649
CBWF,Coonoer Bridge,wind,VI,-36.472722,143.322039
CBWWBA,Christies Beach,battery,SA,-35.125958,138.47135
CESF,Capital East,solar_utility,NS,-35.180684,149.546482
CETHANA,Cethana,hydro,TA,-41.479852,146.134472
CHALLWF,Challicum Hills,wind,VI,-37.395466,143.10459
CHBESS,Chinchilla,battery_charging,QL,-26.918551,150.745399
CHILDSF,Childers,solar_utility,QL,-25.295027,152.403674
CHPSTWF,Chepstowe,wind,VI,-37.596503,143.499582
CHYTWF,Cherry Tree,wind,VI,-37.1018,145.2656
CLARESF,Clare,solar_utility,QL,-19.83977,147.21055
CLAYTON,Clayton,bioenergy_biogas,VI,-37.950618,145.119681
CLEMGPWF,Clements Gap,wind,SA,-33.489773,138.111695
CLERMSF,Clermont,solar_utility,QL,-22.839406,147.546031
CLOVER,Clover,hydro,VI,-36.78515,147.219517
CLRKCWF,Clarke Creek,wind,QL,-22.850446,149.453252
CLUNY,Cluny,hydro,TA,-42.506229,146.681123
CODRGTON,Codrington,wind,VI,-38.282875,141.95496
COHUNSF1,Cohuna,solar_utility,VI,-35.880317,144.221531
COLEASF,Coleambally,solar_utility,NS,-34.759494,145.92984
COLNSV,Collinsville,coal_black,QL,-20.543333,147.806944
COLONGRA,Colongra,gas_ocgt,NS,-33.208781,151.54354
COLUMSF,Columboola,solar_utility,QL,-26.636088,150.28221
COLWF01,Collector,wind,NS,-34.823879,149.396795
CONDONG1,Condong,bioenergy_biomass,NS,-28.314766,153.433808
COOPGWF,Coopers Gap,wind,QL,-26.717004,151.449177
COPTNHYD,Copeton,hydro,NS,-29.907544,150.930235
CORIO,Corio,bioenergy_biogas,VI,-38.059048,144.404905
CPSA,Condamine A,gas_ccgt,QL,-26.666673,150.268581
CROOKWEL,Crookwell,wind,NS,-34.5165,149.54248
CROOKWF2,Crookwell 2,wind,NS,-34.547676,149.589254
CROOKWF3,Crookwell 3,wind,NS,-34.484645,149.54447
CROWLWF,Crowlands,wind,VI,-36.97615,143.097998
CRURWF1,Crudine Ridge,wind,NS,-32.864748,149.81297
CRWASF1,Corowa,solar_utility,NS,-35.98629,146.361456
CSPVPS,Collinsville,solar_utility,QL,-20.55714,147.820552
CTHLWF,Cattle Hill,wind,TA,-42.154845,146.694693
CULCSF,Culcairn,solar_utility,NS,-35.709592,146.981761
CULLERIN,Cullerin Range,wind,NS,-34.750995,149.381027
DAANDINE,Daandine,gas_recip,QL,-27.086294,150.942528
DALNTH,Dalrymple North,battery_discharging,SA,-34.888446,137.758114
DARLSF,Darlington Point,solar_utility,NS,-34.644808,146.035756
DARTM,Dartmouth,hydro,VI,-36.55529,147.519872
DAYDSF,Daydream,solar_utility,QL,-20.512804,147.691968
DDPS1,Darling Downs,gas_ccgt,QL,-27.116851,150.895391
DDSF,Darling Downs,solar_utility,QL,-27.112,150.8819
DEIBDL,Bairnsdale,gas_ocgt,VI,-37.842231,147.563725
DEVILS_G,Devils Gate,hydro,TA,-41.349925,146.262709
DIAPURWF,Diapur 2,wind,VI,-36.339953,141.447361
