status,facility_id,name,state,fuel,capacity_mw,latitude,longitude
accredited,ACC_SRPVWAN6,Armadale Shopping Centre 576kW - Solar - WA,WA,Solar,0.576,-32.017570,115.968672
accredited,ACC_SRPVWAN7,Armadale Shopping Centre 700kW - Solar - WA,WA,Solar,0.704,-32.017570,115.968672
accredited,ACC_SRPYNS74,AU876 Rosehill Industrial Estate - Buildings C & D - Solar w SGU - NSW,NSW,Solar,0.764,-33.873754,151.209587
accredited,ACC_SRPYNSA6,Mayfield Aged Care - Solar - NSW,NSW,Solar,0.192,-32.810046,151.638577
accredited,ACC_SRPYNS95,Westrac Tomago - Solar - NSW,NSW,Solar,1.663,-32.810046,151.638577
accredited,ACC_SRPYNS63,Wollar Solar Farm-Solar-NSW,NSW,Solar,346.248,-32.358112,149.948366
accredited,ACC_SRPXQLI9,NEUMANN STEEL 1 - Solar w SGU - QLD,QLD,Solar,1.517,-28.146770,153.467876
accredited,ACC_SRPYNSA8,St Gregory's College Hall - Solar - NSW,NSW,Solar,0.199,-33.964733,150.799384
accredited,ACC_BEBGNS39,St Marys Sewage Treatment - Cogeneration Plant - NSW,NSW,Sewage Gas and Biomass-Based Components of Sewage,1.7,-33.809587,151.026244
accredited,ACC_SRPYNSA7,Wentworthville Leagues Club Ltd - Solar w SGU - NSW,NSW,Solar,0.23,-33.873754,151.209587
accredited,ACC_SRPYNSB1,Wentworthville Leagues Club Ltd System 2 - Solar w SGU - NSW,NSW,Solar,0.23,-33.873754,151.209587
accredited,ACC_BEBGWA14,Westpork (Moora) - Agricultural Waste - WA,WA,Agricultural Waste,0.63,-31.950652,115.797876
accredited,ACC_SRPXQLJ0,Across The Waves Sports Club Bundaberg - Solar - QLD,QLD,Solar,0.45,-24.851297,152.326181
accredited,ACC_SRPXQLJ3,HomeCo Toowoomba - Solar - QLD,QLD,Solar,0.14,-27.410442,151.654836
accredited,ACC_SRPXQLJ5,HomeCo Upper Coomera - Solar - QLD,QLD,Solar,0.23,-27.998862,153.394099
accredited,ACC_SRPXVCR1,PLASTIC SOLUTIONS - Solar w SGU - VIC,VIC,Solar,0.359,-37.900568,145.217848
accredited,ACC_WD00QL09,Clarke Creek Wind Farm - Wind - QLD,QLD,Wind,450.0,-26.636290,151.270943
accredited,ACC_SRPXQLJ1,Big Dog Pet Foods - SOLAR- QLD,QLD,Solar,0.662,-27.372084,152.985031
accredited,ACC_SRPXQLI4,Doomadgee Solar Farm Stage 2 - Solar - QLD,QLD,Solar,0.304,-17.936560,138.822799
accredited,ACC_SRPXVCP6,MOKOAN SOLAR FARM - SOLAR - VIC,VIC,Solar,57.803,-37.571336,144.890577
accredited,ACC_SRPXQLJ7,Plainland - Solar w SGU - QLD,QLD,Solar,0.428,-27.540783,152.463544
accredited,ACC_SRPXQLJ6,Homeco Tingalpa - Solar - QLD,QLD,Solar,0.204,-27.508712,153.070962
accredited,ACC_SRPVSAZ6,Tip Top Dry Creek- Solar - SA,SA,Solar,0.918,-34.847347,138.548115
accredited,ACC_SRPXSA02,Woolworths Kingston 7003 - Solar - TAS,TAS,Solar,0.338,-31.556484,147.086076
accredited,ACC_SRPXQLK0,Americold Hemmant 2 - Solar w SGU - QLD,QLD,Solar,0.311,-27.541981,153.079185
accredited,ACC_SRPXQLI5,Brisbane Lions - Solar - QLD,QLD,Solar,0.799,-27.507006,153.068285
accredited,ACC_SRPXQLK1,Cairns Aquarium - SOLAR - QLD,QLD,Solar,0.4,-17.259200,145.473229
accredited,ACC_SRPYNSB3,Clean Peak Energy - Coles Dubbo Square - Solar - NSW,NSW,Solar,0.37,-28.523500,151.976200
accredited,ACC_SRPVAC44,CSIRO - Solar - ACT,ACT,Solar,1.269,-35.396937,149.065612
accredited,ACC_SRPXVCR4,HomeCo Keysborough - Solar w SGU - VIC,VIC,Solar,0.152,-37.992363,145.145860
accredited,ACC_SRPYNSA9,The Big Banana Coffs Harbour - Solar w SGU - NSW,NSW,Solar,0.127,-28.523500,151.976200
accredited,ACC_SRPYNSC1,Uniting Farmborough - Solar w SGU - NSW,NSW,Solar,0.15,-33.873754,151.209587
accredited,ACC_SRPYNSB2,Synnex Australia - Solar w SGU - NSW,NSW,Solar,0.474,-33.873754,151.209587
accredited,ACC_SRPXQLI6,Associated Grains Dalby - Solar w SGU - QLD,QLD,Solar,0.348,-27.187645,151.267820
accredited,ACC_SRPYNSA1,Clean Peak Energy - Moama - Solar - NSW,NSW,Solar,7.528,-28.523500,151.976200
accredited,ACC_SRPYNSA5,Kootingal Solar Farm - Solar - NSW,NSW,Solar,6.048,-31.556484,147.086076
accredited,ACC_SRPXQLI0,IBIS-solar w SGU-QLD,QLD,Solar,0.151,-27.320640,153.068723
accredited,ACC_SRPXVCR0,Puopolo Smallgoods-Solar-VIC,VIC,Solar,0.309,-37.840095,144.691109
accredited,ACC_SRPXQLK5,Alsco Salisbury - Solar w SGU - QLD,QLD,Solar,0.3,-27.541981,153.079185
accredited,ACC_SRPYNSC5,Bunnings Penrith - Solar - NSW,NSW,Solar,0.37,-33.959374,150.798835
accredited,ACC_SRPXVCR2,Cherry Lane - Solar - VIC,VIC,Solar,0.42,-37.840095,144.691109
accredited,ACC_SRPXVCR7,Coolaroo - Solar - VIC,VIC,Solar,0.7,-37.571336,144.890577
accredited,ACC_SRPYNSB7,"CVAS, Clarenza - Solar w SGU - NSW",NSW,Solar,0.194,-33.509807,151.160259
accredited,ACC_SRPVWAN5,DMK - 27 Alacrity Place -  SOLAR - WA,WA,Solar,0.196,-33.992275,114.994560
accredited,ACC_SRPYNSC2,Macathur Square - Solar - NSW,NSW,Solar,4.542,-33.964733,150.799384
accredited,ACC_SRPYNSB5,Powerhouse Museum - Solar - NSW,NSW,Solar,0.801,-33.755819,150.957993
accredited,ACC_SRPVWAL5,Region Group Kwinana 1 - Solar - WA,WA,Solar,1.191,-32.003943,115.544708
accredited,ACC_SRPYNS98,Riverwood CCP - Solar - NSW,NSW,Solar,0.126,-33.755819,150.957993
accredited,ACC_SRPYNSD2,Sydney City Toyota Waterloo - Solar - NSW,NSW,Solar,0.454,-33.894567,151.199513
accredited,ACC_SRPXVCQ7,Timberjack 10 International Square - Solar - VIC,VIC,Solar,0.236,-37.571336,144.890577
accredited,ACC_SRPXVCQ8,Timberjack 11 International Square - Solar - VIC,VIC,Solar,0.173,-37.571336,144.890577
accredited,ACC_SRPXVCQ6,Timberjack Bliss Court Derrimut - Solar - VIC,VIC,Solar,0.62,-37.840095,144.691109
accredited,ACC_SRPXVCR3,Uppal Produce - Solar w SGU - VIC,VIC,Solar,0.15,-36.250736,144.944329
accredited,ACC_SRPXQLH9,Koorelah Farms-Solar-QLD,QLD,Solar,0.406,-27.410442,151.654836
accredited,ACC_SRPYNSC9,Woolworths Norwest Circa 1422 - Solar - NSW,NSW,Solar,0.3,-33.755819,150.957993
accredited,ACC_SRPVWAN9,Ashburton Aboriginal Corporation - Solar - WA,WA,Solar,0.727,-28.903938,115.111522
accredited,ACC_SRPXVCS0,Bunnings Nunawading - Solar - VIC,VIC,Solar,0.26,-37.806777,145.181273
accredited,ACC_BEBGNS40,Eastern Creek - LFG- NSW,NSW,Landfill Gas,4.268,-33.805942,150.849956
accredited,ACC_SRPYNSC0,Gunnedah 2A Solar Farm - Solar - NSW,NSW,Solar,6.048,-30.979958,150.235831
accredited,ACC_SRPXQLK3,Hemmant 1+3 Lineage Logistics - Solar - QLD,QLD,Solar,1.518,-27.508712,153.070962
accredited,ACC_SRPYNSD4,Raymond Terrace - Solar - NSW,NSW,Solar,0.222,-31.556484,147.086076
accredited,ACC_SRPYNSC8,Scalabrini Griffith - Solar w SGU - NSW,NSW,Solar,0.22,-34.300549,146.076830
accredited,ACC_WD00QL10,Wambo Wind Farm Stage 1 - Wind - QLD,QLD,Wind,252.0,-27.180532,151.264133
accredited,ACC_SRPYNSD3,Woolworths Merimbula 1250 - Solar - NSW,NSW,Solar,0.366,-31.556484,147.086076
accredited,ACC_SRPXSA04,SH LEASEHOLD PTY LTD - Solar w SGU - SA,SA,Solar,0.198,-34.920631,138.603969
accredited,ACC_SRPYNS87,GPE_DB Santasalo - Solar w SGU - NSW,NSW,Solar,0.532,-33.873754,151.209587
accredited,ACC_BEBMWA04,Kwinana WTE - WA,WA,Biomass-Based Components of Municipal Solid Waste,42.0,-31.950652,115.797876
accredited,ACC_SRPYNSB4,Murrumbidgee-Solar-NSW,NSW,Solar,7.125,-33.883697,151.041879
accredited,ACC_SRPYNSD5,PCCS - Solar w SGU - NSW,NSW,Solar,0.18,-33.883697,151.041879
accredited,ACC_SRPVWAO0,Region Group Kwinana 2 - Solar - WA,WA,Solar,1.19,-32.003943,115.544708
accredited,ACC_SRPXVCS6,Bunnings Mentone - Solar - VIC,VIC,Solar,0.18,-37.976803,145.069610
accredited,ACC_SRPYNSF1,Equinex SY9 - Solar - NSW,NSW,Solar,0.49,-33.873754,151.209587
accredited,ACC_SRPXVCS4,HomeCo Braybrook - Solar - VIC,VIC,Solar,0.14,-37.778433,144.850960
accredited,ACC_SRPXQLK7,HomeCo Bundall - Solar - QLD,QLD,Solar,0.33,-28.005511,153.412483
accredited,ACC_SRPXQLL0,Bunnings Lawnton - Solar - QLD,QLD,Solar,0.16,-27.287964,152.985367
accredited,ACC_SRPXQLJ8,Omya Bajool - 546kW - Solar W SGU - QLD,QLD,Solar,0.546,-23.380820,150.514865
accredited,ACC_SRPYNSD7,Bunnings Alexandria - Solar - NSW,NSW,Solar,0.456,-33.905434,151.193565
accredited,ACC_SRPYNSD1,"Chisholm Rd, Auburn - Solar w SGU - NSW",NSW,Solar,0.207,-33.873754,151.209587
accredited,ACC_SRPXQLK9,Hillwood Berries - SOLAR - QLD,QLD,Solar,0.268,-24.865136,152.377896
accredited,ACC_SRPXVCS9,Bunnings Hoppers Crossing - Solar - VIC,VIC,Solar,0.18,-37.875260,144.713309
accredited,ACC_SRPYNSC7,Energy Bay - Leppington BP - WH2- Solar- NSW,NSW,Solar,0.439,-33.873754,151.209587
accredited,ACC_SRPXVCT1,GPE SURYA ENTERPRISES GOLD COAST - Solar w SGU - VIC,VIC,Solar,0.199,-37.868873,145.212634
accredited,ACC_SRPXVCH2,Greentech 7 Solar Farm & BESS - Solar - VIC,VIC,Solar,8.507,-37.571336,144.890577
accredited,ACC_SRPXVCR9,Minter Magic Packing Shed Iraak - Solar w SGU - VIC,VIC,Solar,0.2,-34.455620,142.148718
